# authors=Abraxas1010 (IAOM / Apoth3osis); The Institute for Ontological Mathematics / Equation Capital dba Apoth3osis
# generated_by=scripts/small-step-coverage.py
# instruction_source_sha256=4cb0ec52705959906122b09d88414bfa05a81b1776eb3be3a5392e23e773543b
instruction,decoder,old_semantics,step_relation,step_function,soundness,completeness,determinism,invariant_preservation,old_new_refinement,examples,testsuite,differential_seed,milestone,notes
brOnNonNull,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
callIndirect,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
refNull,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
refNullExtern,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
refNullExn,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
refFunc,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
refIsNull,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
gc,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
tableGet,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
tableSize,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
tableSet,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
tableGrow,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
tableFill,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
